"machine","app","exec","args","ranks","modules","spack_env","exec_path","events","path","duration","PAPI_BR_INS","PAPI_LD_INS","PAPI_SR_INS","PAPI_TOT_INS","PAPI_L1_LDM","PAPI_L1_STM","PAPI_L2_LDM","PAPI_L2_STM","EPT","FP_ARITH:SCALAR_SINGLE","FP_ARITH:SCALAR_DOUBLE","ARITH","IO Bytes Read","IO Bytes Written","PAPI_MEM_WCY","REALTIME (sec)"
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 5.5 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/a90b669b97fc29123b62b738e262465f', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/7902897c6247aa2b6794989f03500084', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/a1b34ae10d9b7f63b53c0c38a47d13b9', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d145b10d0477291c5f7bd61af234e78c']",0.0666,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000.0,20000000.0,0.0,0.0,0.0,2430175.0,2282039382.0,1680659639.0,37771.0,2200601.0,186000000.0,2.7114849999999997
"quartz","laghos","laghos","-p 1 -dim 2 -rs 1 -tf 5.5 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d1f8cb82abf75dcec6f4f45b127ef3b3', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/29534c9e9a71befdb285f42f882377be', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/4187a0c5bb8e45883ec4b9be60506b46', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/7c3085edfc02c43929299551eb280931']",0.0666,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000.0,20000000.0,2000000.0,0.0,0.0,2431784.0,2282041862.0,1681138751.0,37771.0,2200600.0,186000000.0,2.7033669999999996
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/614142f179885a564553f9ded9cf3712', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/955e88239051fed5374ad6665744e462', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/db3162f6ed4443cb0d3a0650867abdd3', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d12ed23c2d3b60583a9ba6bc96081244']",0.1833,8200000000.0,19434000000.0,6256000000.0,59954000000.0,202000000.0,160000000.0,6000000.0,4000000.0,0.0,3259234.0,11407387387.0,8376314544.0,37771.0,2205834.0,912000000.0,8.763434000000004
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 ",32,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/e255d449c6f1d602831376aeeba5d34e', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/2bb7e6e17a0ffea56c4b6955fd0d801a', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/a3dc041bc170fe54fe821f58b04dbfa1', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/94a40a84ca645adfcb20e272b070d3f7']",0.4666,22753062500.0,35795187500.0,12467125000.0,96878062500.0,77000000.0,32125000.0,12562500.0,8687500.0,0.0,12734.5625,361169574.03125,5501768475.625,69873.9375,2107283.1875,1029437500.0,7.056628843750002
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/152e50f8506f04c9991ea68460b8711f', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/2536f4def7e38b00d81b26780c05ffa3', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/42b048bef2bd55e9deb04585215f1a93', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/62335cf84e33122380c0855ea8820895']",0.1833,8204000000.0,19430000000.0,6256000000.0,59958000000.0,202000000.0,164000000.0,6000000.0,4000000.0,0.0,3259806.0,11407505373.0,8373560008.0,37771.0,2205834.0,916000000.0,8.836722
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3 -pa",32,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/5fc243d8f06bd0c8939b684b6e0e6b36', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/757f052669eb10dd0a8d55e28be20bda', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/d576a530ed2f2a945c108c73adb13b1c', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/fd33612855f9697d39564d00b54fe3ab']",0.55,24537187500.0,38530437500.0,13353062500.0,104240250000.0,76500000.0,32812500.0,12500000.0,8625000.0,0.0,12854.59375,361168484.09375,5647632963.65625,69874.90625,2107283.21875,1022625000.0,7.062784468750002
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 ",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/953f809d317591a80354116eb3794282', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/e5d59f6cf8835a8f791775b6a6e2763b', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/71b96fb5530a86b6dabf865129174ea4', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/c0f38b35cd68f3a246ce4964f062bfd5']",0.2333,9346000000.0,22146000000.0,7130000000.0,68328000000.0,176000000.0,186000000.0,8000000.0,6000000.0,0.0,3713148.0,13003334800.0,9548958313.0,37771.0,2210655.0,1052000000.0,9.921400000000002
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 ",32,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/46be393bb456e6b6568f85a64061d5e6', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/923f4648753aa2167f2fe513de5994be', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/9616d99993aa4b8b9f474bbe4e5f4f54', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/b075d10e1ff05c6bdffba3a73e09cecf']",0.5666,26936687500.0,42333687500.0,14706500000.0,114552562500.0,88875000.0,37750000.0,14687500.0,10000000.0,0.0,12281.0625,411652374.78125,6290329888.03125,69867.90625,2107433.65625,1161312500.0,8.146281125
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 -pa",1,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/fa98f3d19da2cf3dabcb5e4a56349231', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/b760828a4687166e5ba1154130db5ac6', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/800b6b44a62c9ef054446c21ce284e60', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/375b8a7f30f0364bc8772eb642d407f7']",0.2166,9346000000.0,22142000000.0,7130000000.0,68326000000.0,232000000.0,186000000.0,8000000.0,6000000.0,0.0,3713446.0,13005317291.0,9545360358.0,37771.0,2210655.0,1064000000.0,10.460111999999997
"quartz","laghos","laghos","-p 1 -dim 2 -rs 2 -tf 3.5 -pa",32,"intel mvapich2 hpctoolkit/2021.10 papi","resource-equivalence-quartz","/usr/WS1/dnicho/spack/var/spack/environments/resource-equivalence-quartz/.spack-env/view/bin/laghos","-e PAPI_BR_INS -e PAPI_LD_INS -e PAPI_SR_INS -e PAPI_TOT_INS -e PAPI_L1_LDM -e PAPI_L1_STM -e PAPI_L2_LDM -e PAPI_L2_STM -e EPT -e bdw_ep::FP_ARITH:SCALAR_SINGLE -e bdw_ep::FP_ARITH:SCALAR_DOUBLE -e bdw_ep::ARITH -e IO -e PAPI_MEM_WCY -e REALTIME","['/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/5764c5fe8f58069bae1938656b6a14db', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/540e4833e4db6dc3a167a24db4e511f4', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/e8157c5b571f347a199b4e1ef53fc0c5', '/usr/WS1/dnicho/summer2022/resource-equivalences/data/quartz/laghos/1c7d0b29d6b863cdd4657feeee5e004c']",0.5666,27875437500.0,43774500000.0,15174375000.0,118429812500.0,89937500.0,39125000.0,14437500.0,10000000.0,0.0,12395.375,411638680.78125,6379871222.875,69874.90625,2107433.875,1161187500.0,8.280306562500002
